latitiude,Longitude,State,Fuel production by region (thousand barrel)
1.55311,110.345032,Sarawak,54692
5.420404,116.796783,Sabah,74318
6.155672,100.569649,Peninsular malaysia,61002
4.69395,101.117577,Peninsular malaysia,61002
6.443589,100.216599,Peninsular malaysia,61002
2.731813,102.252502,Peninsular malaysia,61002
6.125397,102.238068,Peninsular malaysia,61002
3.974341,102.438057,Peninsular malaysia,61002
3.509247,101.524803,Peninsular malaysia,61002
1.937344,103.366585,Peninsular malaysia,61002
3.072751,101.423454,Peninsular malaysia,61002
1.527549,103.745476,Peninsular malaysia,61002
