Year,Natural Gas,Crude Oil,Coal And Coke,Biodiesel,Hydropower,Biomass,Biogas,Solar,Total
1990,15487,30629,70,0,915,0,0,0,47101
1991,18390,31843,126,0,1053,0,0,0,51412
1992,19644,32264,53,0,997,0,0,0,52958
1993,26898,32218,264,0,1262,0,0,0,60642
1994,28335,32798,89,0,1652,0,0,0,62874
1995,33268,35090,85,0,1540,0,0,0,69983
1996,39031,35744,153,0,1243,0,0,0,76171
1997,44318,35600,153,0,790,0,0,0,80861
1998,45054,35784,221,0,1113,0,0,0,82172
1999,47746,32385,174,0,1668,0,0,0,82423
2000,52432,30839,242,0,1612,0,0,0,85125
2001,53659,32859,344,0,1687,0,0,0,88541
2002,52465,34838,223,0,1329,0,0,0,88855
2003,53010,37026,107,0,1056,0,0,0,91199
2004,57768,38041,241,0,1329,0,0,0,97379
2005,64337,36127,430,0,1313,0,0,0,102207
2006,65752,34386,569,0,1568,0,0,0,102275
2007,64559,33967,576,0,1517,0,0,0,100619
2008,67191,34195,791,0,1964,0,0,0,104141
2009,64661,32747,1348,0,1627,0,0,0,100383
2010,71543,32163,1511,0,1577,0,0,0,106794
2011,69849,28325,1838,176,1850,0,0,0,102038
2012,62580,29115,1860,253,2150,183,4,11,95156
2013,64406,28576,1824,480,2688,297,6,38,98315
2014,63091,29545,1694,612,3038,181,12,63,98236
2015,67209,32440,1614,684,3582,189,18,75,105811
2016,69673,33234,1522,509,4501,198,21,90,109747
2017,71140,32807,1884,467,6240,194,41,93,112867
2018,68253,31996,1672,703,6230,241,147,172,109414
